100.100.100.100|CVE-0000-0000|9.7
100.100.100.101|CVE-0000-0000|9.7
100.100.100.101|CVE-0000-0000|9.7
100.100.100.101|CVE-0000-0000|9.7
100.100.100.101|CVE-0000-0000|9.7
100.100.100.102|CVE-0000-0000|9.2
100.100.100.103|CVE-0000-0000|9.2
100.100.100.103|CVE-0000-0000|9.2
100.100.100.103|CVE-0000-0000|9.2
100.100.100.103|CVE-0000-0000|9.2
100.100.100.104|CVE-0000-0000|7.5
100.100.100.105|CVE-0000-0000|7.5
100.100.100.105|CVE-0000-0000|7.5
100.100.100.105|CVE-0000-0000|7.5
100.100.100.105|CVE-0000-0000|7.5
100.100.100.106|CVE-0000-0000|5.0
100.100.100.107|CVE-0000-0000|5.0
100.100.100.107|CVE-0000-0000|5.0
100.100.100.107|CVE-0000-0000|5.0
100.100.100.107|CVE-0000-0000|5.0
100.100.100.108|CVE-0000-0000|2.0
100.100.100.109|CVE-0000-0000|2.0
100.100.100.109|CVE-0000-0000|2.0
100.100.100.109|CVE-0000-0000|2.0
100.100.100.109|CVE-0000-0000|2.0
155.93.101.10|CVE-2006-5752|4.3
155.93.101.10|CVE-2007-1741|6.2
155.93.101.10|CVE-2007-1742|3.7
155.93.101.10|CVE-2007-1743|4.4
155.93.101.10|CVE-2007-4465|4.3
155.93.101.10|CVE-2007-5000|4.3
155.93.101.10|CVE-2007-6203|4.3
155.93.101.10|CVE-2007-6388|4.3
155.93.101.10|CVE-2007-6420|4.3
155.93.101.10|CVE-2007-6421|3.5
155.93.101.10|CVE-2007-6422|4
155.93.101.10|CVE-2007-6423|7.8
155.93.101.10|CVE-2007-6750|5
155.93.101.10|CVE-2008-0455|4.3
155.93.101.10|CVE-2008-0456|2.6
155.93.101.10|CVE-2008-2168|4.3
155.93.101.10|CVE-2008-2384|7.5
155.93.101.10|CVE-2008-2939|4.3
155.93.101.10|CVE-2009-1195|4.9
155.93.101.10|CVE-2009-1890|7.1
155.93.101.10|CVE-2009-1891|7.1
155.93.101.10|CVE-2009-2699|5
155.93.101.10|CVE-2009-3095|5
155.93.101.10|CVE-2009-3555|5.8
155.93.101.10|CVE-2010-0408|5
155.93.101.10|CVE-2010-0425|10
155.93.101.10|CVE-2010-0434|4.3
155.93.101.10|CVE-2010-1452|5
155.93.101.10|CVE-2011-0419|4.3
155.93.101.10|CVE-2011-3192|7.8
155.93.101.10|CVE-2011-3348|4.3
155.93.101.10|CVE-2011-3368|5
155.93.101.10|CVE-2011-3607|4.4
155.93.101.10|CVE-2011-3639|4.3
155.93.101.10|CVE-2011-4317|4.3
155.93.101.10|CVE-2011-4415|1.2
155.93.101.10|CVE-2012-0031|4.6
155.93.101.10|CVE-2012-0053|4.3
155.93.101.10|CVE-2012-0883|6.9
155.93.101.10|CVE-2012-2687|2.6
155.93.101.10|CVE-2012-3499|4.3
155.93.101.10|CVE-2012-4558|4.3
155.93.101.10|CVE-2013-1862|5.1
155.93.101.10|CVE-2013-1896|4.3
155.93.101.10|CVE-2013-2249|7.5
155.93.101.10|CVE-2013-5704|5
155.93.101.10|CVE-2013-6438|5
155.93.101.10|CVE-2014-0098|5
155.93.101.10|CVE-2014-0118|4.3
155.93.101.10|CVE-2014-0226|6.8
155.93.101.10|CVE-2014-0231|5
155.93.101.10|CVE-2015-0228|5
155.93.101.10|CVE-2015-3183|5
155.93.101.10|CVE-2016-4975|4.3
155.93.101.10|CVE-2016-5387|5.1
155.93.101.10|CVE-2016-8612|3.3
155.93.101.10|CVE-2017-3167|7.5
155.93.101.10|CVE-2017-3169|7.5
155.93.101.10|CVE-2017-7679|7.5
155.93.101.10|CVE-2017-9788|6.4
155.93.101.10|CVE-2017-9798|5
155.93.101.10|CVE-2018-1301|4.3
155.93.101.10|CVE-2018-1302|4.3
155.93.101.10|CVE-2018-1303|5
155.93.101.10|CVE-2018-1312|6.8
155.93.101.10|CVE-2021-34798|5
155.93.101.10|CVE-2021-39275|7.5
